contributor,site_id,long_site,lat_site,gps_accuracy,long_actual,lat_actual,skip_reason,time_submitted,foto_towards_point_compass,lively,relaxing,tranquil,noisy,crowded,safe,beauty,biodiversity,trees,shrubs,lawns,flowers,natveg,benches,play,sports,garbage,veget,paths,facilities,age_cats,gender,dutch,education,visit_freq,visit_daily,alone,oth_parks,more_inv,nature,walking,jogging,biking,relaxing.y,socialising,children,photos,geometry
1590ddade00d7fcad4e78e6daf416144,21.0,4.8467199999999995,52.3594,6.0,4.846724,52.35952,noskip,2018-05-23T19:35:13,0.0,2.0,2.0,2.0,4.0,3.0,2.0,4.0,6.0,4.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,4.0,2.0,1.0,2.0,5.0,1.0,True,4.0,1.0,True,False,2.0,False,1.0,True,False,False,True,False,True,https://gpcl09.geopedia.world/v1/AUTH_1ea448e9-6c0f-4847-a286-64b7d490a622/T2676/F21449/17/836bd23c-ce58-463e-a294-d1d7288e963c,POINT (4.846724 52.35952)
ba07aa9e0a8916cc3252f462b6217454,3.0,4.84797,52.3665,10.0,4.847925,52.36671,noskip,2018-05-27T15:21:32,246.0,4.0,3.0,4.0,2.0,3.0,4.0,8.0,8.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,1.0,True,4.0,1.0,True,True,5.0,True,2.0,True,False,False,True,True,,https://gpcl01.geopedia.world/v1/AUTH_1ea448e9-6c0f-4847-a286-64b7d490a622/T2676/F21449/24/9daf1fb4-38ac-4b8d-b503-81eb1d73d7dd,POINT (4.847925 52.36671)
ec41871ba241d99fb8ac96784c8f7981,8.0,4.844869999999999,52.3649,4.0,4.844853,52.36492,noskip,2018-05-30T23:07:14,250.0,5.0,4.0,3.0,3.0,4.0,5.0,9.0,7.0,4.0,2.0,4.0,2.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,,,,,2.0,False,False,5.0,True,,True,True,True,True,False,False,https://gpcl05.geopedia.world/v1/AUTH_1ea448e9-6c0f-4847-a286-64b7d490a622/T2676/F21449/35/8ebfc47c-4fa7-4e49-8718-72af2c1df455,POINT (4.844853 52.36492)
36533937006e54fd3c538c39c0e62483,19.0,4.84771,52.3606,10.0,4.8477809999999995,52.36054,noskip,2018-06-21T10:08:15,359.0,4.0,2.0,2.0,4.0,5.0,2.0,6.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,6.0,,True,4.0,1.0,True,False,5.0,True,1.0,True,True,True,True,True,True,https://gpcl07.geopedia.world/v1/AUTH_1ea448e9-6c0f-4847-a286-64b7d490a622/T2676/F21449/41/c9be57e6-9e5d-4212-9f55-ada92472eb9f,POINT (4.847781 52.36054)
42840ea6f63ba48a09d06d6ae8934b95,22.0,4.84865,52.3597,8.0,4.848483,52.35969,noskip,2018-06-02T12:21:35,343.0,3.0,2.0,2.0,4.0,3.0,2.0,3.0,4.0,4.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,5.0,1.0,True,4.0,2.0,False,True,2.0,True,1.0,True,False,True,True,False,,https://gpcl09.geopedia.world/v1/AUTH_1ea448e9-6c0f-4847-a286-64b7d490a622/T2676/F21449/46/cd82fb26-0524-4c60-989f-d42c663b7da5,POINT (4.848483 52.35969)
7bd489ccb84be653c1300dab7a5a2ce4,14.0,4.8494,52.365,10.0,4.849329,52.36509,noskip,2018-06-07T23:19:53,160.0,3.0,4.0,5.0,3.0,2.0,4.0,9.0,7.0,5.0,2.0,4.0,3.0,5.0,3.0,2.0,1.0,4.0,4.0,4.0,3.0,5.0,2.0,True,3.0,2.0,False,True,3.0,True,1.0,False,False,True,True,True,,https://gpcl06.geopedia.world/v1/AUTH_1ea448e9-6c0f-4847-a286-64b7d490a622/T2676/F21449/53/97c314d1-891a-4b89-ae2c-c7fe54cfd603,POINT (4.849329 52.36509)
c477c9b6aa09ab03bd39ee0dbaeceee6,4.0,4.84996,52.3661,6.0,4.84965,52.36592,badgps,2018-06-09T22:29:34,359.0,2.0,5.0,5.0,2.0,1.0,4.0,8.0,8.0,5.0,2.0,4.0,5.0,4.0,3.0,3.0,3.0,5.0,5.0,4.0,4.0,6.0,2.0,True,4.0,5.0,False,True,5.0,True,3.0,False,False,False,True,False,,https://gpcl03.geopedia.world/v1/AUTH_1ea448e9-6c0f-4847-a286-64b7d490a622/T2676/F21449/58/6a3db323-24bd-42d0-9f97-78f2c2b7af62,POINT (4.84965 52.36592)
53c3bb91ed8bd3685314dab0cfaf2562,23.0,4.8455900000000005,52.3595,10.0,4.845582,52.359559999999995,noskip,2018-06-10T23:29:06,306.0,5.0,5.0,5.0,2.0,4.0,4.0,9.0,8.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,1.0,True,4.0,2.0,False,False,3.0,True,1.0,True,True,False,True,False,False,https://gpcl01.geopedia.world/v1/AUTH_1ea448e9-6c0f-4847-a286-64b7d490a622/T2676/F21449/64/bf54148c-23e4-4f18-aec0-814cfbc8407e,POINT (4.845582 52.35956)
1928f2009a68aa08f44ad00ad9249425,8.0,4.844869999999999,52.3649,10.0,4.844836,52.36507,noskip,2018-06-11T19:56:33,34.0,3.0,4.0,3.0,2.0,2.0,5.0,5.0,8.0,5.0,2.0,3.0,3.0,4.0,2.0,2.0,3.0,1.0,4.0,5.0,1.0,6.0,1.0,True,4.0,2.0,False,True,3.0,False,1.0,False,False,True,True,False,,https://gpcl03.geopedia.world/v1/AUTH_1ea448e9-6c0f-4847-a286-64b7d490a622/T2676/F21449/71/f695d589-782c-4094-a400-04c110c9d0bc,POINT (4.844836 52.36507)
faba3483d874f140046d1d0f3bf1240a,22.0,4.84865,52.3597,10.0,4.848512,52.35975,noskip,2018-06-12T14:26:28,326.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,9.0,4.0,4.0,4.0,2.0,4.0,4.0,1.0,1.0,2.0,3.0,2.0,3.0,8.0,2.0,True,4.0,2.0,False,True,3.0,True,1.0,False,True,False,True,False,,https://gpcl01.geopedia.world/v1/AUTH_1ea448e9-6c0f-4847-a286-64b7d490a622/T2676/F21449/78/3bfbb6e1-a7d2-46ad-8ed9-ebd992850b14,POINT (4.848512 52.35975)
25916b6367e4fe19226cb574add5563e,20.0,4.84782,52.3619,10.0,4.847919,52.361940000000004,noskip,2018-06-12T14:50:22,315.0,1.0,2.0,2.0,3.0,1.0,2.0,6.0,7.0,4.0,2.0,5.0,3.0,5.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,6.0,2.0,True,4.0,1.0,True,False,5.0,True,1.0,True,False,False,True,True,False,https://gpcl01.geopedia.world/v1/AUTH_1ea448e9-6c0f-4847-a286-64b7d490a622/T2676/F21449/83/7a695973-c4da-481d-bdf7-bd5bdf4f411c,POINT (4.847919 52.36194)
37440bc875af890a10f662a11a071589,0.0,4.845,52.3665,5.0,4.845055,52.366609999999994,noskip,2018-06-13T21:47:44,27.0,4.0,2.0,2.0,3.0,4.0,3.0,7.0,8.0,5.0,5.0,4.0,4.0,4.0,3.0,1.0,4.0,2.0,5.0,4.0,5.0,8.0,2.0,True,4.0,1.0,True,True,5.0,True,1.0,False,False,True,True,True,,https://gpcl05.geopedia.world/v1/AUTH_1ea448e9-6c0f-4847-a286-64b7d490a622/T2676/F21449/90/c257b8e2-847d-444b-b7bb-76a840fca2e6,POINT (4.845055 52.36661)
